title,info,img_url
英国研究：严重新冠感染可使大脑老化20年，智商降低10个点,剑桥大学的科学家评估了新冠病毒感染可能对人类认知能力造成的损害。研究结果显示，患者认知能力丧失的程度相当于“衰老20年”。,//img2.chinadaily.com.cn/images/202205/08/6277161ba310fd2bec87961f.jpeg
一课译词：根深蒂固,“根深蒂固”，汉语成语，比喻根基牢固，不可动摇。可以翻译为“ingrained，deepseated，或deeply rooted”等。,//img2.chinadaily.com.cn/images/202205/07/62764372a310fd2bec878cb9.jpeg
国家将大力帮扶中小微企业 多措并举保市场主体,国家将从减税退税降费、缓缴社保费、纾困专项资金、普惠小微贷款等多个方面帮扶中小微企业和个体工商户。,//img2.chinadaily.com.cn/images/202205/07/62762731a310fd2bec878acb.jpeg
面试题目答不上来别说“不知道”！你应该这样回答……,求职面试准备得再充分，也总会有让你答不上来的问题。你应该诚实地回答“不知道”，还是有其他更好的回答方式？,//img2.chinadaily.com.cn/images/202205/07/6275bd91a310fd2bec877b26.jpeg
一课译词：一应俱全,"“一应俱全”，汉语成语，意思是应有的一切都很齐全，指应有尽有。可以翻译为“available in all varieties""。",//img2.chinadaily.com.cn/images/202205/06/6274f176a310fd2bec876d29.jpeg
专家预测：中国经济将在近期回升,分析人士5月5日表示，预计中国经济将保持其韧性，并可能在未来几个月内实现回升。,//img2.chinadaily.com.cn/images/202205/06/6274ec73a310fd2bec876bbc.png
每日一词∣五四青年节China's Youth Day,中共中央总书记、国家主席、中央军委主席习近平5月2日给中国航天科技集团空间站建造青年团队回信，向航天战线全体青年致以节日的祝贺。习近平强调，希望广大航天青年为我国航天科技实现高水平自立自强再立新功。,//img2.chinadaily.com.cn/images/202205/06/6274e399a310fd2bec876987.jpeg
每日新闻播报（May 6）,今日播报内容：'五一'假期国内出游1.6亿人次；我国在珠峰架设世界最高气象站；去年农民工月均收入4432元；美国务卿布林肯新冠检测阳性。,//img2.chinadaily.com.cn/images/202205/06/6274dbcca310fd2bec87667f.jpeg
Are you woke? 觉醒,Being woke意思是政治上的觉醒，意识到社会的不公，比如种族不平等。,//img2.chinadaily.com.cn/images/202205/06/62749a56a310fd2bec87594d.jpeg
伤心的人真的别听慢歌吗？,心理学研究发现，听悲伤的音乐可以治愈受伤的心灵，帮助你尽快走出阴霾。,//img2.chinadaily.com.cn/images/202205/06/62747d00a310fd2bec874de8.jpeg
每日新闻播报（May 5）,今日播报内容：近10年中国净增1亿户市场主体；西部陆海新通道物流网络拓展；气候变化和农耕导致昆虫数量剧减；专家：接吻有益口腔健康。,//img2.chinadaily.com.cn/images/202205/05/6273964fa310fd2bec872f6d.jpeg
每日一词∣高校毕业生就业促进周 college-graduate employment promotion week,教育部4月28日表示，将于5月9日至15日举办2022届高校毕业生就业促进周活动。促进周期间，各地各高校预计将举办各级各类线上线下招聘会超过1.5万场。,//img2.chinadaily.com.cn/images/202205/05/62739219a310fd2bec872d48.jpeg
一课译词：丢三落四,“丢三落四”，汉语成语，意思是不是丢了这个，就是忘了那个，形容做事马虎粗心。,//img2.chinadaily.com.cn/images/202205/05/62738feea310fd2bec872cf5.jpeg
留抵退税政策有效为企业减负纾困,自从4月1日开始实施大规模留抵退税政策以来，已经惠及多家企业尤其是小微企业。,//img2.chinadaily.com.cn/images/202205/05/627377faa310fd2bec87254d.jpeg
谈论数据时常用到的说法,比如，在数据量较大的文章中，常常出现“总共”、“平均”、“多达”、“至少”等词。这些词所对应的英语说法分别是什么？,//img2.chinadaily.com.cn/images/202205/05/62736f34a310fd2bec872240.jpeg
哈佛大学承认与奴隶制历史联系，设立1亿美元基金“赎罪”,报告称，从1636年哈佛大学成立到1783年美国马萨诸塞州禁止奴隶制，奴隶制曾是哈佛大学生活中不可或缺的一部分。,//img2.chinadaily.com.cn/images/202205/05/6273219aa310fd2bec86f7e2.jpeg
超神奇！从睡眠姿势竟能看出你的个性,研究表明睡姿是极少受意识控制的动作，它所传达出的信息能在某种程度上反映人的心理和健康状态。一起来通过睡姿了解自己。,//img2.chinadaily.com.cn/images/202205/01/626dcd89a310fd2bec868ef1.jpeg
一课译词：突飞猛进,“突飞猛进”，汉语成语，形容进步或发展得非常快。可以翻译为“develop rapidlys或make great progress”。,//img2.chinadaily.com.cn/images/202204/29/626bb39da310fd2bec8678e9.jpeg
每日一词∣技术工人队伍skilled workers,"首届大国工匠创新交流大会4月27日在京开幕。中共中央总书记、国家主席、中央军委主席习近平发来贺信, 向大会的举办表示热烈的祝贺。",//img2.chinadaily.com.cn/images/202204/29/626ba919a310fd2bec8676f6.jpeg
5月即将上映的精彩新片前瞻,阿汤哥的《壮志凌云2》、卷福的《奇异博士2》，还有被搬上大荧幕的经典动画《开心汉堡店》，每一部都不容错过。,//img2.chinadaily.com.cn/images/202204/29/626b9cc1a310fd2bec8675a3.jpeg
每日新闻播报（April 29）,今日播报内容：一季度工业企业利润同比增8.5%；外媒：美国民众对经济前景越发悲观；美国副总统哈里斯新冠阳性；洛杉矶重启公共交通'口罩令'。,//img2.chinadaily.com.cn/images/202204/29/626b5dc4a310fd2bec866b40.jpeg
“跑题”用英语怎么说？,你在与同事、客户交流时，有没有说着说着就跑题了的经历？,//img2.chinadaily.com.cn/images/202205/05/62736ebda310fd2bec8721d1.jpeg
专门针对奥密克戎的这款疫苗何时上市？,国药集团中国生物称，针对新冠病毒奥密克戎变异株的疫苗临床研究工作预计需要3—4个月左右的时间来完成。,//img2.chinadaily.com.cn/images/202204/29/626b4183a310fd2bec8658fc.jpeg
一课译词：力所能及,“力所能及”，汉语成语，意思是在自己力量的限度内所能做到的。可以翻译为“in/within one’s power”。,//img2.chinadaily.com.cn/images/202204/28/626a62c5a310fd2bec863ce1.jpeg
上海外企积极复工复产 对中国市场信心不变,尽管供应链挑战依然存在，但多数跨国公司高管表示，他们对中国的长期信心依然保持不变。,//img2.chinadaily.com.cn/images/202204/28/626a5fbda310fd2bec863ca8.jpeg
每日一词∣中国特色、世界一流大学 world-class universities with Chinese characteristics,要走出一条建设中国特色、世界一流大学的新路。,//img2.chinadaily.com.cn/images/202204/29/626b3ad7a310fd2bec8650cd.jpeg
每日新闻播报（April 28）,今日播报内容：全国幼儿园数量十年增长近八成；中国第38次南极科学考察圆满收官；我国公路总里程已达528万公里；推特接受马斯克440亿美元收购要约。,//img2.chinadaily.com.cn/images/202204/28/626a56bea310fd2bec863a0d.jpeg
一季度工业企业利润增长8.5% 多措并举促成稳定开局,总体来看，一季度减税降费、助企纾困多措并举，工业企业利润保持平稳增长。,//img2.chinadaily.com.cn/images/202204/28/626a42eba310fd2bec863446.jpeg
超半数美国人曾感染新冠 儿童感染率达75%,美疾控中心通过检测血液样本中的抗体发现，美国超半数的人已经感染过新冠病毒，其中儿童感染率高达75%。,//img2.chinadaily.com.cn/images/202204/28/6269e011a310fd2bec85fac3.jpeg
一课译词：苗头,“苗头”，汉语词语，意思是微微显现出来的发展趋势或情况。可以翻译为“early beginning”。,//img2.chinadaily.com.cn/images/202204/27/62690ec2a310fd2bec85eaad.jpeg
德意志银行警告：美国经济严重衰退即将到来,德意志银行经济学家4月26日警告称，美国经济“可能迎来一场大衰退”。,//img2.chinadaily.com.cn/images/202204/27/62690e28a310fd2bec85ea3f.jpeg
