title,info,img_url
盘点：2020年最令人难忘的文化事件,尽管今年的疫情让好莱坞一度停摆，电影节、时装周、展会也纷纷取消，但是在文化领域还是发生了许多值得我们铭记的事件。,//img2.chinadaily.com.cn/images/202012/23/5fe2ec3ca31024adbda9e6c6.jpeg
“关系铁”、“不熟”、“关系差”用英语怎么说？,你和身边的哪位好友关系最“铁”？哪些人和你“不熟”，或者只是“点头之交”？有没有与你“水火不容的人”？,//img2.chinadaily.com.cn/images/202012/23/5fe2d540a31024adbda9e37f.jpeg
盘点：各大词典评出的2020年度词汇,每到年底，各大主流英语词典都会评选出各自的年度词汇（word of the year）。一起跟着视频来回顾一下吧。,//img2.chinadaily.com.cn/images/202012/23/5fe2cc3da31024adbda9e133.jpeg
这份工作是不是你的真爱， 8个迹象看一看,文中这些迹象意味着你找到了那份心仪的工作。,//img2.chinadaily.com.cn/images/202012/23/5fe2c864a31024adbda9e121.jpeg
反食品浪费法草案一审 以后下馆子点菜要注意了,草案要求餐饮服务提供者引导消费者按需适量点餐，菜单应提供更多菜品信息及不同规格选择。,//img2.chinadaily.com.cn/images/202012/23/5fe2aca1a31024adbda9db71.jpeg
一课译词：有机可乘,“有机可乘”，意思是有机会可以利用，有空子可钻。可以翻译为 there's a loophole that can be used。,//img2.chinadaily.com.cn/images/202012/22/5fe1bdb6a31024adbda9c1c0.jpeg
IMDb评选出2020年度十大美剧 你追了哪几部？,接近尾声的2020，我们终于迎来各大媒体年终盘点的时节。IMDb近期公布了TOP10年度十佳美剧，你们都追了哪几部呢？,//img2.chinadaily.com.cn/images/202012/22/5fe1ba71a31024adbda9c155.jpeg
每日一词∣新时代的中国能源发展 Energy in China's New Era,白皮书介绍了新时代中国能源发展成就，全面阐述了中国推进能源革命的主要政策和重大举措。,//img2.chinadaily.com.cn/images/202012/22/5fe1b590a31024adbda9c0aa.jpeg
每日新闻播报（December 22）,今日播报内容：重点人群接种新冠疫苗；技能劳动者队伍将壮大；嫦五月球样品入住'新家'；欧洲多国中断与英交通。,//img2.chinadaily.com.cn/images/202012/22/5fe1b34ea31024adbda9c084.jpeg
Arm twisting tactics? 强制手段,Arm twisting tactics就是使用强制手段达到自己的目的。,//img2.chinadaily.com.cn/images/202012/22/5fe19242a31024adbda9b9cf.jpeg
《习近平谈治国理政》第三卷重要概念汉英对照（十）,围绕重要概念范畴表述的中英文表达，推出双语对照版，供业界及相关人员参考。,//img2.chinadaily.com.cn/images/202012/22/5fe17d3da31024adbda9b4be.jpeg
“盲盒”用英语怎么说？为啥这么火？,盲盒在中国的受欢迎度不断攀升，预计到2024年，盲盒的市场规模将达到300亿元。,//img2.chinadaily.com.cn/images/202012/22/5fe15be0a31024adbda9ab9f.jpeg
17年过去了，它还是我每年圣诞必看的贺岁片…,《真爱至上》是那么独一无二，那么经典，那么温暖人心。它为我们展现的，是关于真爱和奇迹的颂歌。,//img2.chinadaily.com.cn/images/202012/22/5fe15b83a31024adbda9ab89.jpeg
每日新闻播报（December 21）,今日播报内容：新冠主题儿童玩具热销；潘通发布2021年代表色；绿氢或成未来首选燃料；飞机长期停飞或存隐患,//img2.chinadaily.com.cn/images/202012/21/5fe078dca31024adbda98a15.jpeg
一课译词：大吃一惊,“大吃一惊”，汉语成语，形容对发生的事感到十分意外。,//img2.chinadaily.com.cn/images/202012/21/5fe07491a31024adbda989e9.jpeg
