name,title,img_url
张大仙,芈月新皮肤,"//live-cover.msstatic.com/huyalive/1259515661837-1259515661837-4682562792811659264-2519031447130-10057-A-0-1-imgplus/20210127205956.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
剑仙,巅峰赛快乐上分！！！,"//live-cover.msstatic.com/huyalive/2380113905-2380113905-10222511382729850880-4760351266-10057-A-0-1/20210127205954.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
DK-阿欢,新号用【马超】7天冲巅峰前10,"//live-cover.msstatic.com/huyalive/1552929640-1552929640-6669782016789053440-3105982736-10057-A-0-1/20210127205929.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
广州TTG九尾,梦幻联动 尾兽队大战梦之队,https://anchorpost.msstatic.com/cdnimage/anchorpost/1016/ff/071084058765cbc531901f00e76d88_2336_1611743067.jpg?imageview/4/0/w/338/h/190/blur/1
LING-北慕,TTG梦之队六尾表演赛！！,"//live-cover.msstatic.com/huyalive/1706479145-1706479145-7329272119081041920-3413081746-10057-A-0-1/20210127210004.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
孤影,嘉奖环节还是分锅环节？,"//live-cover.msstatic.com/huyalive/1757672727-1757672727-7549146879536136192-3515468910-10057-A-0-1-imgplus/20210127210003.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
亿凡-赖神、,TTGvs梦之队表演赛！,"//live-cover.msstatic.com/huyalive/1680925919-1680925919-7219521849103745024-3361975294-10057-A-0-1-imgplus/20210127205956.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
蜜小涛,排位表现分诸葛神,"//live-cover.msstatic.com/huyalive/2256155956-2256155956-9690116045695614976-4512435368-10057-A-0-1/20210127205941.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
东辰-小可爱【璐璐】,开开心心打游戏,"//live-cover.msstatic.com/huyalive/1831913250-1831913250-7868007497859072000-3663949956-10057-A-0-1/20210127205930.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
正恒SD-童子【150】,【故事会】今日谁是主角~,"//live-cover.msstatic.com/huyalive/1648744803-1648744803-7081305008334962688-3297613062-10057-A-0-1/20210127210000.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
六尾【混子】丶,TTG 梦之队表演赛,"//live-cover.msstatic.com/huyalive/2285403183-2285403183-9815731929159303168-4570929822-10057-A-0-1-imgplus-watermark/20210127205957.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
久爱-预见【吕德华】,国服吕布 哪吒认真冲国1,"//live-cover.msstatic.com/huyalive/1354740567-1354740567-5818566429829496832-2709604590-10057-A-0-1/20210127205950.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
南锋-柒柒【感恩陪伴】,安徽小姐姐在线带粉上分如喝水（有车位）,"//live-cover.msstatic.com/huyalive/1849718210-1849718210-7944479218765660160-3699559876-10057-A-0-1/20210127205930.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
韩涵TuT,S22韩哥王者归来,"//live-cover.msstatic.com/huyalive/1827824615-1827824615-7850446944248791040-3655772686-10057-A-0-1/20210127205952.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
Dae-草莓,英雄你选输了叫baba送52,"//live-cover.msstatic.com/huyalive/1343892671-1343892671-5771975071279087616-2687908798-10057-A-0-1/20210127205955.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
可杰OoO,巅峰2122全国第3冲第1,"//live-cover.msstatic.com/huyalive/1199512562348-1199512562348-5225629860856070144-2399025248152-10057-A-0-1/20210127205954.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
LING-陌辰,2.33W战力曹操巅峰冲第一,"//live-cover.msstatic.com/huyalive/64308754-64308754-276203995276509184-128740964-10057-A-0-1/20210127205949.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
LING-树叶,欢迎来到对抗路,"//live-cover.msstatic.com/huyalive/1610145122-1610145122-6915520640803930112-3220413700-10057-A-0-1/20210127205952.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
LING-张老三,2.2W貂蝉.QQ冲巅峰前10!,"//live-cover.msstatic.com/huyalive/1356299405-1356299405-5825261588059258880-2712722266-10057-A-0-1/20210127205959.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
景秀-一笑,解说梦之队VSTTG混合BO3,"//live-cover.msstatic.com/huyalive/1610847180-1610847180-6918535956953825280-3221817816-10057-A-0-1/20210127205952.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
久爱-小予神【矛神】,万场国服马超王者局乱杀教学,"//live-cover.msstatic.com/huyalive/1852594244-1852594244-7956831690737844224-3705311944-10057-A-0-1/20210127205955.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
白玉,感谢小黑哥鼎立支持带粉,"//live-cover.msstatic.com/huyalive/1375051653-1375051653-5905801879945740288-2750226762-10057-A-0-1/20210127205948.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
诺米-澈澈,第一电刀李信·巅峰赛乱撒,"//live-cover.msstatic.com/huyalive/2350069863-2350069863-10093473204900200448-4700263182-10057-A-0-1/20210127205958.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
LING-夏屿【二蛋】,TTG梦之队六尾表演赛,"//live-cover.msstatic.com/huyalive/1199515791421-1199515791421-5239498623787466752-2399031706298-10057-A-0-1-imgplus/20210127205959.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
QGHurt,今天巅峰要上前十,https://anchorpost.msstatic.com/cdnimage/anchorpost/1049/58/cdd99602b4c9738d99907f090d2031_2336_1610951689.jpg?imageview/4/0/w/338/h/190/blur/1
Dae-婷小姐,1314加速器卡爷~8.30公会战,"//live-cover.msstatic.com/huyalive/1490169117-1490169117-6400227623024197632-2980461690-10057-A-0-1/20210127210007.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
诺米-小舞姬【577】,4倍超粉日-跳崴脚的国服貂蝉-,"//live-cover.msstatic.com/huyalive/1574585588-1574585588-6762793605212930048-3149294632-10057-A-0-1-watermark/20210127205954.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
蓝新-蛋总,职业貂蝉 巅峰赛花式秀,"//live-cover.msstatic.com/huyalive/2370865848-2370865848-10182791280363307008-4741855152-10057-A-0-1/20210127205955.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
正恒-愿望,"万场老妲己,高手的打法","//live-cover.msstatic.com/huyalive/99615733-99615733-427846315402067968-199354922-10057-A-0-1/20210127205951.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
正恒丶夕阳,第一李白，单排细节和节奏教学~,"//live-cover.msstatic.com/huyalive/135581125-135581125-582316497829888000-271285706-10057-A-0-1-watermark/20210127205956.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
杰瑞,顶尖射手2045冲巅峰第一,"//live-cover.msstatic.com/huyalive/2393875200-2393875200-10281615694705459200-4787873856-10057-A-0-1/20210127205949.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
梦飞大大,国4司空震，Q区冲前十！,"//live-cover.msstatic.com/huyalive/15887954-15887954-68238242830352384-31899364-10057-A-0-1-imgplus/20210127205955.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
诺米-阿萱,世界级打野 带粉乱杀,"//live-cover.msstatic.com/huyalive/1402405258-1402405258-6023284718848442368-2804933972-10057-A-0-1/20210127205944.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
正恒-紫宸【相声木兰】,2w分花木兰，巅峰赛上大分！,"//live-cover.msstatic.com/huyalive/1069843731-1069843731-4594943836475621376-2139810918-10057-A-0-1/20210127210005.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
众乐-奇遇崽,【狂暴流貂蝉】单排打国服表现分,"//live-cover.msstatic.com/huyalive/1638819817-1638819817-7038677518051704832-3277763090-10057-A-0-1/20210127205949.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
正恒-Pop小仔,风从虎，云从龙，风云彰显真英雄！,"//live-cover.msstatic.com/huyalive/1205400960-1205400960-5177157701767004160-2410925376-10057-A-0-1-imgplus/20210127205954.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
广州TTG易瞳,尾兽大战梦之队,https://anchorpost.msstatic.com/cdnimage/anchorpost/1053/90/a8a79c55e951df04d88bb55926942c_2336_1611743115.jpg?imageview/4/0/w/338/h/190/blur/1
非凡-大龙,带粉200连胜第一诸葛,"//live-cover.msstatic.com/huyalive/1672115928-1672115928-7181683225880690688-3344355312-10057-A-0-1/20210127205949.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
LD-米娅,【第一女法王】在线带粉乱杀,"//live-cover.msstatic.com/huyalive/1744676127-1744676127-7493326907576942592-3489475710-10057-A-0-1/20210127210003.jpg?x-oss-process=image/resize,limit_0,m_fill,w_338,h_190/sharpen,80/format,jpg/interlace,1/quality,q_90"
